Account,Project / Site,Location,Scale,Signal / Status,Valve-BD Relevance,Linked Contacts in Dataset,Source
Johnson & Johnson,Wilson NC biologics facility,"Wilson, North Carolina, USA",$2B,"Under construction; broke ground 2024; ~5,000 jobs.","Greenfield biologics — upstream/downstream valve fit-out.",Nader Al-Tahan (Upstream CQV Lead),Pharma press / public
Bristol Myers Squibb,Devens / Cruiserath cell therapy & biologics,"Devens MA / Cruiserath IE",Ongoing,"Established + expanding CAR-T / biologics.","CAR-T sterile + biologics utilities.",Nidhi Shah / Odile Smith / Padraig Keane + Ireland cluster,Public
Bristol Myers Squibb,Cruiserath Sterile Drug Product (SDP) facility,"Cruiserath, Dublin 15, Ireland",$400M,"Construction from Mar 2024; completion 2026; +350 roles (campus >1,000). BMS's FIRST European sterile DP for biologics.","STERILE DP = diaphragm-valve dense; brand-new = full spec. Ties to your 22 BMS Ireland contacts.",Padraig Keane (VP Cruiserath) + BMS Ireland cluster (22),IDA Ireland / BMS
Eli Lilly,Limerick biologic API expansion,"Limerick, Ireland",$2B (doubled),"Production commences 2026; +300 permanent roles.","New biologic API = utilities/CIP-SIP + process valves. Ties to Lilly Ireland contacts.",Kieran Houlihan / Paul Linehan / Karthick Pachaiyappan / Tracy McEntee,IDA Ireland / BioProcess Intl
Eli Lilly,Kinsale expansion (Mounjaro/tirzepatide),"Kinsale, Ireland",$800M,"Scaling incretin (weight-loss/diabetes) supply.","Fill-finish/API for blockbuster = high-throughput valve demand.",Lilly Ireland cluster,IDA Ireland / press
AstraZeneca,Dublin API / synthetic DS facility,"Dublin, Ireland",$360M (+$3.5B into Irish sub),"Completion 2026 — next-gen small-molecule API.","New API = process + utilities valves. Ties to AZ Ireland.",AZ Ireland contacts,IDA Ireland / Irish Examiner
Bristol Myers Squibb,RayzeBio radiopharma (Indianapolis),"Indianapolis, Indiana, USA",New build (opened 2025),"Radiopharma site under BMS.","Sterile radiopharma valve trains.",Kevin Rosenthal (VP Site Head),ISPE / public
Bristol Myers Squibb,Leiden cell therapy facility,"Leiden, Netherlands",New build (completed 2025),"Cell therapy manufacturing — just online.","CAR-T sterile trains; fresh site = spares/next-phase. Ties to NL cluster.",Netherlands cluster (5 BMS contacts),Press
Bristol Myers Squibb,Houston plant (Generation Park),"Houston, Texas, USA",~$1B (proposed),"Under evaluation — 600k sq ft start, ~500 jobs.","If it proceeds: greenfield = full valve fit-out from spec stage.",(TX — no contacts yet),Fierce Pharma / filing
Eli Lilly,Houston API facility,"Houston, Texas, USA",$6.5B,"Announced — API for oral drugs.","Mega API greenfield = massive valve demand, earliest spec stage.",(TX — no contacts yet; watch),Fierce Pharma / press
AbbVie,North Chicago API facility,"North Chicago, Illinois, USA",$195M,"Construction started fall 2025; operational 2027.","CONCRETE AbbVie project — new API = utilities/CIP-SIP + process valves. Best AbbVie entry point.",(AbbVie eng gate-locked — target via this project),BioPharma Dive
AbbVie,Massachusetts biologics expansion,"Massachusetts, USA",Expansion,"Announced 2025 — biologics mfg + R&D capacity.","Biologics utilities + process valves.",(AbbVie — Sales Nav gap),AbbVie / press
AbbVie,Singapore biologics DS expansion,"Singapore",$223M,"Broke ground; +24,000 L biologics drug-substance capacity; ops 2026.","2nd concrete AbbVie doorway — biologics DS = bioreactor/CIP-SIP valve trains. Target via project + Singapore Sales Nav.",(AbbVie — gate-locked),Fierce Pharma
Novartis,Singapore biopharma expansion,"Singapore",$256M,"Broke ground; antibody drugs; digital+automation; online 2026.","New mAb capacity = process + CIP-SIP valves; automation aligns with PdM.",(Novartis Singapore — watch),Fierce Pharma
Novo Nordisk,Chartres aseptic expansion,"Chartres, France",€2.1B,"Aseptic production + QC lab extension; incremental 2026-2028; +500 jobs.","ASEPTIC production = diaphragm-valve dense; multi-year = sustained demand.",(Novo France — watch),European Pharmaceutical Review
