Event,Date,Location,Status,Relevance,Target Accounts Active,Notes
American Biomanufacturing Summit 2027,2027-04 (Apr),"San Francisco, CA",UPCOMING,"Biomanufacturing/quality/supply-chain/cell&gene execs (Generis). Exec + ops altitude.",US biomanufacturing,Sister to PMOS; Generis format. Confirm exact date.
A3P International Congress 2027,2027-10-13/15,"Biarritz, France",UPCOMING,"Premier European aseptic/sterile/containment congress — equipment-heavy, valve/isolator/CIP-SIP relevant. Big EU sterile crowd.",EU sterile/aseptic sites,"French-led but international; strong for EU fill-finish + containment. Roster downloadable."
PHARMAP 2027,2027-04-19/20,"Berlin, Germany",UPCOMING,"Pharma Manufacturing & Packaging Congress — mfg/process crowd.",EU mfg,Confirm relevance vs packaging skew; grab agenda.
Making Pharmaceuticals 2027,2027-04-20/21,"Birmingham, UK (NEC)",UPCOMING,"UK pharma manufacturing expo + conference — processing, facilities. AZ/UK-site territory.",AstraZeneca / UK sites,Regional UK; free-ish trade show. Good for AZ Macclesfield/UK cluster.
P-MEC Europe 2026 (co-located CPhI Milan),2026-10-06/08,"Milan, Italy (Fiera Milano)",UPCOMING,"Pharma Machinery & Equipment hall of CPhI — the EQUIPMENT side (more on-persona than CPhI conference itself). Process/utility equipment buyers.",Equipment/eng buyers,"If you do Milan, P-MEC (not the CPhI conference) is where your buyers are."
Pharmapack Europe 2027,2027-01-27/28,"Paris, France (Paris Expo)",UPCOMING · LOW-MED FIT,"Packaging & drug-delivery focus — some fill-finish overlap but skews packaging/device (partly de-prioritise).",Device/packaging teams,Lower fit for process valves; include only if pursuing fill-finish/device angle.
DCAT Week 2027,2027-03 (Mar),"New York, NY",UPCOMING · LOW FIT,"Global bio/pharma value-chain dealmaking — sourcing/procurement/BD crowd (mostly de-prioritise, but procurement personas attend).",Procurement/sourcing,Commercial/sourcing event; only useful for the Tier-2 procurement persona.
CPhI Europe (Milan) 2026,2026-10-06/08,"Milan, Italy (Fiera Milano)",UPCOMING · LOW FIT,"COMMERCIAL / ingredients / CDMO dealmaking — 250+ speakers but skew sourcing/BD/ingredients (de-prioritise column). Engineering/valve buyers go to ISPE/PDA instead.",Mostly CDMOs/ingredient players (Pfizer/Samsung Bio/Bachem),"Huge but off-persona for valve BD. Useful only for CDMO/ingredient intel or sheer networking volume. Fetch-blocked to me; skip unless you want commercial coverage. Note: same Euro-October window as Pharma Maintenance Berlin (Oct 1-2)."
2026 ISPE Aseptic Conference,2026 (spring),"North Bethesda, MD",PAST/RECURRING,"Fill-finish + sterile — CAR-T / parenteral valve trains.",BMS (Nidhi Shah spoke),Historical — track 2027 edition when announced.
2026 ISPE Facilities of the Future,2026-02-02/03,"San Diego, CA",PAST/RECURRING,"Capital/facility design — recurs annually (see 2027 above).",Lilly / Genentech / J&J keynoted,Historical — confirms which execs are conference-active (see speakers file).
